startup_name,domain,funding_amount,equity_offered,founders,stage,country,season,deal_status,investor
FreshSpark_35,ai,49114685,7.295,2,Series C,USA,6,Offer Withdrawn,Anupam
QuantumHub_36,fintech,49114685,7.295,1,Series A,UAE,7,Funded,Lori
InnoKart_37,health,49114685,16.29,1,Unknown,UK,6,Unknown,Vineeta
InnoWorks_38,agri,49114685,7.295,2,Series B,Canada,4,Unknown,Peyush
GreenSolutions_39,Tech,34250762,11.39,3,Seed,UAE,2,No Deal,Mark
CloudBox_40,FinTech,49114685,7.295,2,Unknown,Unknown,1,Partially Funded,Anupam
NextPulse_41,edtech,49114685,0,2,Bootstrapped,UAE,2,Rejected,Unknown
FoodSolutions_42,Travel,49114685,7.295,2,Seed,UAE,4,Funded,Ashneer
DataFoods_43,ai,24758985,7.295,2,Angel,UAE,3,Partially Funded,Anupam
FreshWave_44,tech,25069927,7.295,2,Series B,USA,2,Offer Withdrawn,Namita
DigitalFoods_45,Food,49114685,7.295,2,Bootstrapped,UAE,2,Funded,Ashneer
DataCore_46,Health,62839237,0,2,Series A,USA,4,Rejected,Namita
FoodBridge_47,logistics,73893313,7.295,3,Unknown,UK,7,Partially Funded,Mark
NextKart_48,food,49114685,7.295,4,Series C,Canada,5,Unknown,Barbara
NextKart_49,Logistics,49114685,7.295,4,Series B,India,5,No Deal,Unknown
DigitalKart_50,AI,49114685,7.295,2,Series C,UAE,5,Partially Funded,Aman
EduBridge_51,tech,70370436,32.41,1,Angel,Canada,7,Partially Funded,Unknown
DataFoods_52,Tech,49114685,7.295,3,Series C,UK,2,No Deal,Namita
NextSolutions_53,health,49114685,8.64,2,Series B,USA,4,Partially Funded,Mark
DigitalKart_54,Fashion,49114685,7.295,2,Angel,India,5,Unknown,Lori
NextWave_55,fintech,84145046,7.295,4,Unknown,UAE,5,No Deal,Anupam
DigitalGrow_56,agri,94575054,2.85,1,Series C,India,2,Partially Funded,Ashneer
EduMart_57,tech,49114685,7.295,2,Angel,India,1,Partially Funded,Namita
DataSolutions_58,health,49114685,20.41,4,Bootstrapped,Unknown,7,Partially Funded,Vineeta
NextPulse_59,Logistics,49114685,7.295,2,Seed,USA,2,Funded,Ashneer
HyperLabs_60,Tech,49114685,32.66,4,Unknown,India,2,Partially Funded,Barbara
GreenLabs_61,food,31454807,7.295,1,Bootstrapped,USA,3,Offer Withdrawn,Lori
InnoCore_62,AI,49114685,54.54,1,Series C,UAE,5,Offer Withdrawn,Mark
NextBridge_63,Tech,49114685,55.69,4,Bootstrapped,USA,2,Offer Withdrawn,Kevin
FreshNest_64,Agri,49114685,2.22,4,Seed,India,2,Unknown,Anupam
MetaSolutions_65,travel,49114685,7.295,3,Series C,USA,5,Unknown,Vineeta
FinGen_66,health,49114685,7.295,1,Angel,India,3,Offer Withdrawn,Barbara
MetaMart_67,E‑commerce,49114685,7.295,2,Series B,Unknown,4,Offer Withdrawn,Anupam
UrbanLabs_68,Unknown,49114685,7.295,2,Angel,USA,1,Partially Funded,Anupam
UrbanMart_69,Food,49114685,7.295,2,Seed,India,7,No Deal,Ashneer
QuantumSystems_70,edtech,41195883,7.295,3,Unknown,India,3,Offer Withdrawn,Mark
HyperGen_71,fashion,49114685,7.295,4,Seed,UK,3,No Deal,Barbara
HyperGen_72,ecommerce,35323833,7.295,2,Series A,Canada,2,Unknown,Lori
HyperKart_73,Tech,49114685,23.65,1,Unknown,Canada,5,Unknown,Ashneer
DataSystems_74,E‑commerce,49114685,7.295,2,Seed,Canada,2,No Deal,Namita
GreenHive_75,logistics,49114685,7.295,4,Series B,USA,6,Funded,Mark
GreenSpark_76,Unknown,28155562,0,2,Series A,Canada,6,Rejected,Namita
FreshCore_77,Health,49114685,7.295,2,Unknown,India,6,No Deal,Barbara
InnoCore_78,ecommerce,49114685,0,3,Seed,Canada,3,Rejected,Lori
BrightGen_79,travel,71631054,7.295,1,Bootstrapped,Canada,2,Unknown,Lori
InnoHive_80,travel,49114685,7.295,3,Bootstrapped,UAE,2,Offer Withdrawn,Barbara
InnoSolutions_81,health,49114685,7.295,4,Unknown,UAE,1,Unknown,Barbara
NextCore_82,Logistics,49114685,0,2,Series A,USA,2,Rejected,Mark
FreshKart_83,EdTech,49114685,0,2,Series C,Canada,2,Rejected,Namita
AIMart_84,ecommerce,49114685,7.295,3,Series C,UK,7,Unknown,Lori
UrbanSolutions_85,ai,49114685,9.68,2,Seed,India,2,Funded,Unknown
MetaNest_86,AI,49114685,7.295,3,Series C,Canada,7,Unknown,Anupam
BrightGen_87,tech,49114685,7.295,3,Series C,Canada,2,Funded,Ashneer
HyperLabs_88,agri,49114685,7.295,1,Unknown,Unknown,2,Funded,Aman
AgriHub_89,Unknown,49114685,7.295,2,Series B,India,4,Funded,Unknown
SmartSpark_90,travel,28659619,7.295,3,Angel,Unknown,2,Partially Funded,Unknown
CloudLabs_91,fintech,49114685,51.5,2,Seed,UK,2,Funded,Mark
BrightGen_92,Travel,49114685,5.74,1,Seed,Canada,7,Offer Withdrawn,Namita
HealthNest_93,travel,49114685,19.19,2,Angel,Canada,2,Partially Funded,Unknown
GreenHub_94,EdTech,49114685,7.295,2,Series B,India,2,Unknown,Lori
HyperBridge_95,Tech,49114685,7.295,4,Series C,India,5,Unknown,Peyush
EduBox_96,agri,99550825,7.295,3,Unknown,India,2,Offer Withdrawn,Namita
FreshLabs_97,edtech,49114685,49.03,3,Series A,India,2,No Deal,Vineeta
DataSolutions_98,fintech,49114685,7.295,4,Series B,UAE,6,Partially Funded,Lori
TechCore_99,travel,57255826,0,2,Series B,UAE,3,Rejected,Aman
HealthKart_100,ai,49114685,7.295,2,Unknown,Unknown,3,Unknown,Unknown
FinBox_101,Travel,49114685,7.295,1,Unknown,Unknown,3,Unknown,Kevin
BrightGrow_102,Logistics,49114685,7.295,2,Series C,USA,6,Unknown,Peyush
SmartPulse_103,AI,3443769,7.295,2,Seed,Unknown,7,Partially Funded,Aman
HealthNest_104,Fashion,49114685,0,2,Angel,USA,4,Rejected,Barbara
MetaLabs_105,AI,49114685,7.295,4,Series B,UK,3,No Deal,Unknown
CloudGen_106,EdTech,49114685,7.295,3,Series A,UAE,4,Unknown,Peyush
EduNest_107,ai,49114685,7.295,2,Unknown,Canada,5,Partially Funded,Kevin
AgriKart_108,Tech,84522187,7.295,2,Unknown,USA,3,No Deal,Unknown
FoodLabs_109,logistics,49114685,0,2,Series A,USA,6,Rejected,Namita
MetaNest_110,ai,49114685,7.295,3,Series B,USA,6,Partially Funded,Unknown
BrightPulse_111,Unknown,31490908,7.295,1,Unknown,USA,2,Partially Funded,Aman
SmartWave_112,Fashion,49114685,7.295,1,Bootstrapped,Canada,4,Offer Withdrawn,Namita
NextHive_113,fashion,49114685,7.295,2,Series C,Unknown,3,Offer Withdrawn,Namita
InnoPulse_114,E‑commerce,49114685,7.295,2,Seed,UAE,5,No Deal,Barbara
UrbanSpark_115,Logistics,49114685,7.295,3,Seed,Unknown,2,Offer Withdrawn,Barbara
FoodHive_116,tech,49114685,7.295,1,Bootstrapped,Unknown,5,Funded,Anupam
AgriSpark_117,E‑commerce,49114685,7.295,3,Seed,India,2,Partially Funded,Unknown
HealthSystems_118,EdTech,49114685,0.96,2,Bootstrapped,India,4,Offer Withdrawn,Kevin
MetaSystems_119,travel,49114685,7.295,2,Angel,UK,2,Funded,Vineeta
NextHive_120,edtech,17152643,56.28,2,Bootstrapped,UK,2,Funded,Namita
FreshBridge_121,Fashion,49114685,7.295,2,Bootstrapped,Unknown,5,No Deal,Barbara
DataSpark_122,Food,49114685,47.11,1,Series A,UAE,2,Partially Funded,Anupam
EduFoods_123,E‑commerce,49114685,7.295,1,Angel,USA,6,No Deal,Namita
QuantumEdge_124,ai,53977613,7.295,2,Series A,Canada,2,Funded,Unknown
FreshKart_125,Food,49114685,7.295,3,Series A,Unknown,2,No Deal,Aman
FoodGen_126,Tech,49114685,7.295,2,Series B,UAE,6,Offer Withdrawn,Namita
TechWorks_127,tech,90240939,7.295,4,Series A,Canada,1,Funded,Anupam
CloudNest_128,Tech,49114685,52.85,2,Seed,UAE,2,Funded,Kevin
DigitalNest_129,Unknown,49114685,7.295,3,Unknown,India,1,Partially Funded,Ashneer
FoodGen_130,fintech,49114685,10.77,4,Series B,USA,4,No Deal,Kevin
HealthBox_131,Unknown,49114685,7.295,2,Seed,UAE,6,No Deal,Ashneer
AINest_132,Fashion,49114685,7.295,2,Angel,India,2,Offer Withdrawn,Barbara
QuantumMart_133,Fashion,49114685,0,1,Angel,Canada,2,Rejected,Anupam
SmartBox_134,EdTech,53691806,0,2,Unknown,UAE,4,Rejected,Lori
FinBridge_135,tech,49114685,8.47,2,Bootstrapped,UK,2,Unknown,Mark
CloudLink_136,tech,4388045,7.295,2,Unknown,India,2,Offer Withdrawn,Namita
NextLink_137,Food,49114685,0,2,Series B,Unknown,4,Rejected,Barbara
HealthSolutions_138,fintech,49114685,7.295,1,Unknown,UAE,7,No Deal,Barbara
GreenGen_139,ai,49114685,15.76,2,Angel,UAE,1,Funded,Kevin
CloudFoods_140,ai,83172107,7.295,2,Unknown,India,2,Partially Funded,Lori
DigitalWorks_141,food,49114685,7.295,2,Bootstrapped,Canada,2,No Deal,Namita
HyperSpark_142,agri,49114685,7.295,1,Series A,Canada,2,Unknown,Peyush
HealthLink_143,logistics,18288338,7.295,2,Series C,Canada,1,Funded,Barbara
TechWave_144,FinTech,11579588,7.295,2,Series A,India,6,No Deal,Ashneer
QuantumBridge_145,Travel,23238470,7.295,2,Angel,Canada,6,Funded,Peyush
CloudFoods_146,health,49114685,7.295,3,Series A,UAE,1,Unknown,Peyush
HealthBridge_147,Health,53992788,0,3,Bootstrapped,USA,6,Rejected,Vineeta
DigitalCore_148,agri,49114685,7.295,2,Series A,Canada,2,No Deal,Unknown
HealthGen_149,Food,49114685,7.295,1,Unknown,UK,3,Unknown,Barbara
InnoSystems_150,FinTech,49114685,7.295,2,Unknown,Canada,2,Unknown,Anupam
DigitalMart_151,ai,49114685,7.295,2,Angel,UAE,2,Offer Withdrawn,Unknown
SmartBox_152,travel,49114685,7.295,2,Bootstrapped,India,1,Unknown,Kevin
SmartHive_153,fashion,49114685,7.295,1,Angel,India,7,Funded,Unknown
AIPulse_154,EdTech,49114685,7.295,2,Bootstrapped,USA,6,Offer Withdrawn,Ashneer
AIGrow_155,Food,23550264,7.295,1,Bootstrapped,USA,3,Funded,Kevin
DigitalSystems_156,tech,43488047,7.295,2,Series C,India,1,Funded,Peyush
InnoWorks_157,Travel,49114685,7.295,2,Angel,UK,5,Offer Withdrawn,Kevin
TechHive_158,food,45976590,7.295,2,Series B,Canada,1,Unknown,Kevin
EduNest_159,Food,49114685,7.295,2,Unknown,India,3,Offer Withdrawn,Kevin
TechMart_160,Fashion,52391924,0,3,Series A,India,2,Rejected,Namita
UrbanSolutions_161,EdTech,16930416,10.22,2,Unknown,USA,1,Offer Withdrawn,Unknown
NextNest_162,Fashion,49114685,7.295,1,Angel,India,7,Offer Withdrawn,Ashneer
BrightMart_163,fintech,49114685,7.295,3,Seed,India,7,Offer Withdrawn,Lori
DigitalLink_164,Fashion,49114685,43.92,2,Series B,UAE,6,Offer Withdrawn,Aman
EduBridge_165,agri,49114685,0,2,Unknown,UK,6,Rejected,Kevin
FreshGrow_166,logistics,49114685,7.295,1,Series B,Canada,3,Unknown,Kevin
FinMart_167,Agri,61484799,0,1,Seed,USA,7,Rejected,Anupam
AISolutions_168,E‑commerce,49114685,0,1,Series A,India,4,Rejected,Kevin
GreenBridge_169,Health,49114685,7.295,2,Series C,UK,1,No Deal,Unknown
NextBridge_170,E‑commerce,49114685,7.295,2,Series B,UAE,1,No Deal,Mark
BrightCore_171,fintech,49114685,7.295,4,Series B,Unknown,6,Funded,Barbara
NextGen_172,fintech,49114685,7.295,2,Seed,UAE,5,Offer Withdrawn,Anupam
TechGrow_173,FinTech,49114685,7.295,2,Angel,Unknown,2,Funded,Vineeta
HealthNest_174,ai,49114685,0,1,Seed,Canada,7,Rejected,Anupam
UrbanGrow_175,food,18511708,7.295,3,Seed,Canada,5,Unknown,Aman
NextHub_176,food,49114685,50.3,2,Seed,Unknown,2,Offer Withdrawn,Unknown
FreshEdge_177,Unknown,49114685,7.295,4,Unknown,UAE,4,Partially Funded,Barbara
AIPulse_178,fashion,49114685,7.295,2,Series C,UAE,1,Offer Withdrawn,Vineeta
EduCore_179,Unknown,20159999,0,3,Unknown,Unknown,4,Rejected,Peyush
EduHub_180,E‑commerce,49114685,7.295,3,Angel,UK,4,Offer Withdrawn,Vineeta
FoodLabs_181,edtech,49114685,7.295,4,Series A,India,2,Partially Funded,Kevin
AIPulse_182,fashion,16378642,7.295,1,Series C,USA,7,Offer Withdrawn,Lori
FinMart_183,health,42222163,0,2,Unknown,Canada,6,Rejected,Aman
UrbanFoods_184,health,49114685,7.295,4,Bootstrapped,USA,3,No Deal,Ashneer
QuantumHub_185,Tech,49114685,7.295,2,Series C,UAE,7,Partially Funded,Unknown
AgriWorks_186,ecommerce,49114685,7.295,1,Unknown,Unknown,2,Unknown,Kevin
QuantumHub_187,E‑commerce,5555682,39.03,2,Series A,UAE,4,Offer Withdrawn,Peyush
HyperWave_188,edtech,49114685,7.295,2,Seed,UK,1,Offer Withdrawn,Lori
EduBox_189,health,629910,0,1,Seed,India,2,Rejected,Peyush
FreshPulse_190,Unknown,49114685,7.295,4,Unknown,India,1,Offer Withdrawn,Unknown
HyperHub_191,Fashion,49114685,7.295,2,Unknown,USA,2,Partially Funded,Unknown
FreshHub_192,ai,49114685,7.295,2,Angel,Unknown,6,Unknown,Ashneer
FinWave_193,fintech,49114685,7.295,3,Series A,Unknown,3,Funded,Peyush
FreshBox_194,ai,47760250,0,1,Series B,UK,4,Rejected,Vineeta
MetaEdge_195,Unknown,49114685,7.295,2,Unknown,USA,4,No Deal,Barbara
MetaGrow_196,health,49114685,7.295,1,Bootstrapped,USA,7,Partially Funded,Kevin
FoodBridge_197,ai,49114685,0,4,Angel,USA,4,Rejected,Aman
InnoGen_198,Fashion,49114685,7.295,4,Unknown,India,5,No Deal,Unknown
FinBridge_199,Agri,49114685,7.295,2,Seed,India,2,No Deal,Lori
EduLink_200,E‑commerce,49114685,7.295,2,Bootstrapped,USA,2,Funded,Anupam
AgriLink_201,Unknown,49114685,0,2,Seed,UAE,2,Rejected,Ashneer
SmartMart_202,travel,49114685,7.295,2,Angel,UAE,3,Offer Withdrawn,Peyush
DataWave_203,Unknown,49114685,7.295,3,Angel,Unknown,6,Offer Withdrawn,Ashneer
EduNest_204,ecommerce,49114685,5.4,4,Bootstrapped,Canada,1,Funded,Vineeta
FinCore_205,ai,49114685,0,4,Angel,India,2,Rejected,Vineeta
QuantumFoods_206,ai,80657356,11.72,2,Unknown,UAE,7,Partially Funded,Anupam
DigitalSystems_207,EdTech,49114685,48.34,4,Series A,USA,6,Partially Funded,Aman
GreenHive_208,E‑commerce,49114685,20.91,2,Bootstrapped,USA,7,Funded,Kevin
FreshSolutions_209,ecommerce,49114685,6.77,2,Angel,USA,7,Partially Funded,Vineeta
CloudHive_210,fashion,49114685,24,2,Angel,Canada,2,Unknown,Barbara
InnoKart_211,travel,49114685,43.6,2,Unknown,USA,2,Unknown,Mark
QuantumHive_212,Tech,49114685,7.295,2,Series A,Canada,2,Unknown,Kevin
NextHub_213,Travel,64633733,49.85,2,Seed,UAE,2,Partially Funded,Anupam
NextCore_214,food,49114685,7.295,2,Unknown,UAE,2,No Deal,Anupam
CloudCore_215,fashion,49114685,56.24,2,Series B,USA,2,No Deal,Mark
HyperBridge_216,Health,49114685,7.295,2,Bootstrapped,Unknown,3,Unknown,Vineeta
AgriEdge_217,Health,49114685,7.295,2,Unknown,India,3,Partially Funded,Kevin
NextLink_218,ai,49114685,7.295,2,Series C,USA,7,Partially Funded,Vineeta
DataHub_219,Fashion,9650145,7.295,2,Seed,Canada,6,Funded,Barbara
MetaHub_220,logistics,49114685,0,2,Seed,India,2,Rejected,Anupam
AgriKart_221,ecommerce,17248268,7.295,2,Series B,Canada,6,Unknown,Barbara
BrightLabs_222,Fashion,49114685,7.295,2,Unknown,UK,2,Partially Funded,Barbara
FoodNest_223,tech,49114685,7.295,2,Angel,USA,6,No Deal,Ashneer
QuantumWorks_224,fintech,49114685,7.295,2,Seed,USA,1,Unknown,Unknown
AgriKart_225,AI,49114685,7.295,2,Bootstrapped,UAE,2,No Deal,Barbara
HealthSystems_226,Health,49114685,7.295,2,Series A,India,4,Funded,Lori
BrightLink_227,Fashion,49114685,7.295,2,Seed,UAE,7,Partially Funded,Anupam
AISystems_228,tech,49114685,6.03,2,Series B,India,2,No Deal,Vineeta
CloudGen_229,Food,93730168,7.295,2,Series B,Canada,2,Funded,Kevin
DataGen_230,Agri,49114685,7.295,2,Series C,Canada,1,Offer Withdrawn,Ashneer
AgriPulse_231,Food,49114685,15.05,1,Series C,UAE,2,Offer Withdrawn,Unknown
SmartGrow_232,agri,24405170,0,4,Series B,Canada,4,Rejected,Aman
TechPulse_233,Unknown,49114685,7.295,2,Unknown,Canada,4,No Deal,Peyush
NextLink_234,health,49114685,0,1,Series A,USA,2,Rejected,Anupam
AISpark_235,ecommerce,49114685,7.295,2,Angel,USA,5,Offer Withdrawn,Mark
FinGrow_236,travel,49114685,0,2,Angel,India,1,Rejected,Unknown
HealthWorks_237,E‑commerce,106075,7.295,2,Seed,UAE,4,Offer Withdrawn,Mark
FreshHive_238,edtech,63491899,14.56,2,Bootstrapped,India,1,Funded,Anupam
DigitalMart_239,Logistics,49114685,13.73,2,Unknown,UAE,2,Offer Withdrawn,Aman
EduHive_240,Fashion,50419300,7.295,2,Unknown,Canada,1,Funded,Anupam
EduBridge_241,Agri,83570950,0,1,Unknown,UAE,2,Rejected,Unknown
MetaFoods_242,ecommerce,49114685,0,1,Unknown,UAE,2,Rejected,Vineeta
HyperLabs_243,tech,49114685,7.295,2,Seed,UAE,1,Partially Funded,Ashneer
BrightEdge_244,fintech,49114685,9.61,4,Bootstrapped,USA,2,Unknown,Vineeta
CloudBox_245,ecommerce,49114685,7.295,2,Series A,Unknown,7,Unknown,Barbara
HyperSystems_246,ai,49114685,7.295,2,Bootstrapped,India,2,Offer Withdrawn,Aman
HyperLabs_247,Food,49114685,0,2,Seed,USA,6,Rejected,Lori
AgriKart_248,agri,49114685,7.295,2,Seed,India,7,Funded,Lori
UrbanNest_249,Health,49114685,7.295,2,Series B,India,7,Funded,Mark
GreenSolutions_250,food,49114685,15.8,2,Unknown,USA,2,No Deal,Namita
TechCore_251,Travel,49114685,7.295,3,Series B,USA,2,Partially Funded,Unknown
InnoSpark_252,Agri,49114685,7.295,2,Angel,UK,5,Partially Funded,Vineeta
NextKart_253,health,49114685,56.5,2,Series A,India,2,Funded,Barbara
AgriEdge_254,EdTech,49114685,7.295,2,Angel,USA,6,Offer Withdrawn,Peyush
FreshLabs_255,Tech,89855778,54.27,2,Series A,Unknown,6,Partially Funded,Aman
DigitalFoods_256,agri,49114685,7.295,3,Series B,India,3,Partially Funded,Unknown
TechSystems_257,agri,49114685,22.18,4,Unknown,Unknown,2,Unknown,Peyush
AgriSpark_258,Tech,49114685,7.295,2,Series C,USA,4,Partially Funded,Unknown
BrightPulse_259,E‑commerce,49114685,0,3,Bootstrapped,Canada,7,Rejected,Anupam
SmartSolutions_260,tech,49114685,0,3,Series B,Unknown,5,Rejected,Peyush
UrbanNest_261,edtech,49114685,7.295,2,Series B,UAE,5,Partially Funded,Barbara
FreshFoods_262,edtech,49114685,7.295,3,Unknown,UAE,1,Funded,Lori
DigitalHive_263,Health,49114685,39.9,3,Unknown,Canada,1,Unknown,Lori
QuantumWave_264,FinTech,49114685,7.295,4,Series C,Unknown,2,No Deal,Barbara
DigitalGrow_265,agri,49114685,7.295,2,Series A,USA,5,Unknown,Lori
MetaSystems_266,tech,49114685,28.27,2,Series B,Canada,2,Funded,Vineeta
AgriMart_267,Agri,49114685,7.295,2,Unknown,India,2,Funded,Barbara
AIHub_268,AI,77600972,7.295,2,Unknown,USA,6,Funded,Mark
FoodPulse_269,ecommerce,49114685,7.295,3,Seed,Canada,1,Partially Funded,Peyush
UrbanSpark_270,Tech,90974764,7.295,1,Series A,USA,5,Offer Withdrawn,Barbara
FreshKart_271,edtech,49114685,53.59,2,Bootstrapped,UAE,3,No Deal,Lori
GreenBox_272,Agri,49114685,0,2,Seed,India,3,Rejected,Lori
FoodMart_273,edtech,49114685,7.295,2,Seed,USA,2,Unknown,Mark
DataBox_274,EdTech,49114685,0,1,Seed,Canada,2,Rejected,Mark
HyperLabs_275,fintech,49114685,0,1,Series A,India,7,Rejected,Kevin
QuantumNest_276,Health,88956614,1.38,2,Bootstrapped,India,2,Offer Withdrawn,Lori
TechNest_277,health,49114685,7.295,2,Unknown,Canada,2,No Deal,Kevin
UrbanHub_278,Tech,58690300,7.295,3,Unknown,UK,6,Partially Funded,Unknown
CloudMart_279,edtech,49114685,7.295,2,Seed,Canada,5,Offer Withdrawn,Ashneer
MetaNest_280,Fashion,49114685,7.295,4,Seed,UAE,2,No Deal,Unknown
HealthWorks_281,Health,49114685,7.295,3,Series B,UAE,5,Offer Withdrawn,Lori
DataSpark_282,EdTech,49114685,7.295,2,Unknown,India,2,Unknown,Vineeta
HealthEdge_283,edtech,45795806,56.33,1,Seed,USA,1,Funded,Namita
MetaSystems_284,Fashion,29994419,7.295,2,Unknown,Canada,7,Unknown,Anupam
MetaGen_285,tech,94677314,1.83,2,Series A,Canada,4,No Deal,Namita
AgriHub_286,AI,68705537,27.62,2,Series B,India,6,Funded,Aman
TechEdge_287,logistics,49114685,7.295,2,Seed,Canada,2,Offer Withdrawn,Vineeta
HealthGen_288,health,49114685,24.19,2,Series A,USA,2,Unknown,Aman
SmartMart_289,FinTech,49114685,7.295,3,Bootstrapped,Unknown,3,Partially Funded,Kevin
CloudBox_290,ecommerce,49114685,7.295,1,Angel,India,3,Offer Withdrawn,Vineeta
FoodBox_291,ai,64865862,7.295,4,Unknown,Unknown,3,No Deal,Aman
MetaLink_292,EdTech,49114685,7.295,2,Bootstrapped,UAE,1,No Deal,Peyush
DigitalSolutions_293,Tech,49114685,7.295,2,Bootstrapped,UAE,6,Partially Funded,Anupam
TechKart_294,Unknown,84900244,7.295,3,Unknown,USA,2,Unknown,Peyush
FinPulse_295,Food,49114685,7.295,1,Series A,Canada,5,Unknown,Mark
HealthNest_296,agri,8422619,7.295,2,Angel,UK,4,Funded,Aman
AIFoods_297,Unknown,49114685,0,2,Seed,UAE,2,Rejected,Peyush
UrbanWave_298,health,67645076,7.295,2,Bootstrapped,Unknown,2,Unknown,Ashneer
EduGrow_299,fashion,49114685,7.295,2,Unknown,Unknown,2,No Deal,Vineeta
DataSpark_300,Health,5521642,29.85,4,Unknown,Canada,4,Offer Withdrawn,Barbara
DigitalWorks_301,Food,49114685,7.295,2,Series B,USA,2,Offer Withdrawn,Unknown
InnoMart_302,AI,49114685,7.295,2,Seed,India,6,Funded,Anupam
AgriBox_303,food,33950487,7.295,1,Series C,India,2,No Deal,Peyush
BrightSolutions_304,ecommerce,49114685,13.42,1,Series B,UAE,7,Funded,Namita
FoodKart_305,AI,49114685,23.67,3,Seed,India,2,Offer Withdrawn,Peyush
CloudNest_306,fashion,76916168,7.295,1,Series C,USA,2,Partially Funded,Aman
EduBridge_307,tech,99674401,7.295,2,Bootstrapped,UK,7,Funded,Barbara
MetaBridge_308,Agri,49114685,7.295,2,Series B,India,6,Funded,Peyush
CloudHive_309,ai,49114685,7.295,3,Bootstrapped,Unknown,7,Unknown,Peyush
HyperGen_310,Travel,49114685,7.295,3,Series B,India,2,Unknown,Barbara
UrbanBox_311,food,14806459,7.295,2,Seed,Canada,2,Unknown,Kevin
InnoSpark_312,EdTech,49114685,7.295,2,Unknown,USA,2,Unknown,Barbara
DigitalSolutions_313,agri,49114685,7.295,2,Series B,UAE,7,Offer Withdrawn,Kevin
FreshGen_314,tech,49114685,7.295,2,Seed,Canada,2,No Deal,Lori
QuantumBox_315,ecommerce,49114685,7.295,2,Series A,India,4,Unknown,Lori
FoodWave_316,edtech,19347847,7.295,2,Series A,USA,2,Offer Withdrawn,Namita
HyperHive_317,AI,49114685,7.295,2,Unknown,Unknown,2,Offer Withdrawn,Lori
SmartMart_318,edtech,49114685,7.295,4,Seed,Canada,2,Offer Withdrawn,Namita
UrbanWave_319,Tech,21676696,0,3,Seed,Canada,1,Rejected,Unknown
DigitalWave_320,agri,49114685,7.295,4,Bootstrapped,Unknown,5,No Deal,Anupam
AgriSystems_321,logistics,49114685,7.295,2,Series C,Canada,2,Partially Funded,Mark
