startup_name,domain,funding_amount,equity_offered,founders,stage,country,season,deal_status,investor
NextPulse_41,edtech,,,,Bootstrapped,uae,,Rejected,
FoodSolutions_42,Travel,,,,Seed,UAE,4,Funded,Ashneer
DataFoods_43,ai,24758985,,Unknown,Angel,uae,3,Partially Funded,Anupam
FreshWave_44,tech,25069927,,Unknown,Series B,usa,,Offer Withdrawn,Namita
DigitalFoods_45,Food,,unknown,2 founders,Bootstrapped,UAE,,Funded,Ashneer
DataCore_46,Health,62839237,,,Series A,USA,4,Rejected,Namita
FoodBridge_47,logistics,73893313,,3 founders,,uk,7,Partially Funded,Mark
NextKart_48,food,,,4 founders,Series C,canada,5,,Barbara
NextKart_49,Logistics,,unknown,4 founders,Series B,india,5,No Deal,
DigitalKart_50,AI,,,,Series C,uae,5,Partially Funded,Aman
EduBridge_51,tech,70370436,32.41%,1 founder,Angel,Canada,7,Partially Funded,
DataFoods_52,Tech,,,3 founders,Series C,uk,2,No Deal,Namita
NextSolutions_53,health,,8.64%,2 founders,Series B,USA,4,Partially Funded,Mark
DigitalKart_54,Fashion,,,2 founders,Angel,india,5,,Lori
NextWave_55,fintech,84145046,unknown,4 founders,,uae,5,No Deal,Anupam
DigitalGrow_56,agri,94575054,2.85%,1 founder,Series C,india,2,Partially Funded,Ashneer
EduMart_57,tech,,,2 founders,Angel,india,1,Partially Funded,Namita
DataSolutions_58,health,,20.41%,4 founders,Bootstrapped,,7,Partially Funded,Vineeta
NextPulse_59,Logistics,,,,Seed,USA,,Funded,Ashneer
HyperLabs_60,Tech,,32.66%,4 founders,Pre-Seed,India,2,Partially Funded,Barbara
GreenLabs_61,food,31454807,,1 founder,Bootstrapped,usa,3,Offer Withdrawn,Lori
InnoCore_62,AI,,54.54%,1 founder,Series C,uae,5,Offer Withdrawn,Mark
NextBridge_63,Tech,,55.69%,4 founders,Bootstrapped,USA,,Offer Withdrawn,Kevin
FreshNest_64,Agri,,2.22%,4 founders,Seed,india,,,Anupam
MetaSolutions_65,travel,,,3 founders,Series C,usa,5,,Vineeta
FinGen_66,health,,,1 founder,Angel,India,3,Offer Withdrawn,Barbara
MetaMart_67,E‑commerce,,,2 founders,Series B,,4,Offer Withdrawn,Anupam
UrbanLabs_68,,,,,Angel,usa,1,Partially Funded,Anupam
UrbanMart_69,Food,,,,Seed,India,7,No Deal,Ashneer
QuantumSystems_70,edtech,41195883,unknown,3 founders,,india,3,Offer Withdrawn,Mark
HyperGen_71,fashion,,unknown,4 founders,Seed,uk,3,No Deal,Barbara
HyperGen_72,ecommerce,35323833,,Unknown,Series A,canada,,,Lori
HyperKart_73,Tech,,23.65%,1 founder,,canada,5,,Ashneer
DataSystems_74,E‑commerce,,unknown,,Seed,Canada,,No Deal,Namita
GreenHive_75,logistics,,,4 founders,Series B,usa,6,Funded,Mark
GreenSpark_76,,28155562,,,Series A,canada,6,Rejected,Namita
FreshCore_77,Health,,,,,India,6,No Deal,Barbara
InnoCore_78,ecommerce,,,3 founders,Seed,canada,3,Rejected,Lori
BrightGen_79,travel,71631054,unknown,1 founder,Bootstrapped,canada,,,Lori
InnoHive_80,travel,,unknown,3 founders,Bootstrapped,UAE,,Offer Withdrawn,Barbara
InnoSolutions_81,health,,,4 founders,Pre-Seed,UAE,1,,Barbara
NextCore_82,Logistics,,,,Series A,usa,,Rejected,Mark
FreshKart_83,EdTech,,10.28%,,Series C,canada,,Rejected,Namita
AIMart_84,ecommerce,,,3 founders,Series C,uk,7,,Lori
UrbanSolutions_85,ai,,9.68%,,Seed,india,,Funded,
MetaNest_86,AI,,unknown,3 founders,Series C,Canada,7,,Anupam
BrightGen_87,tech,,unknown,3 founders,Series C,canada,,Funded,Ashneer
HyperLabs_88,agri,,unknown,1 founder,Pre-Seed,,,Funded,Aman
AgriHub_89,,,,,Series B,india,4,Funded,
SmartSpark_90,travel,28659619,unknown,3 founders,Angel,,,Partially Funded,
CloudLabs_91,fintech,,51.50%,Unknown,Seed,uk,2,Funded,Mark
BrightGen_92,Travel,,5.74%,1 founder,Seed,canada,7,Offer Withdrawn,Namita
HealthNest_93,travel,,19.19%,,Angel,canada,2,Partially Funded,
GreenHub_94,EdTech,,,,Series B,India,2,,Lori
HyperBridge_95,Tech,,,4 founders,Series C,India,5,,Peyush
EduBox_96,agri,99550825,,3 founders,Pre-Seed,India,,Offer Withdrawn,Namita
FreshLabs_97,edtech,,49.03%,3 founders,Series A,India,,No Deal,Vineeta
DataSolutions_98,fintech,,,4 founders,Series B,uae,6,Partially Funded,Lori
TechCore_99,travel,57255826,37.20%,,Series B,uae,3,Rejected,Aman
HealthKart_100,ai,,,,Pre-Seed,,3,,
FinBox_101,Travel,,,1 founder,Pre-Seed,,3,,Kevin
BrightGrow_102,Logistics,,,,Series C,USA,6,,Peyush
SmartPulse_103,AI,3443769,,,Seed,,7,Partially Funded,Aman
HealthNest_104,Fashion,,54.21%,,Angel,usa,4,Rejected,Barbara
MetaLabs_105,AI,,,4 founders,Series B,uk,3,No Deal,
CloudGen_106,EdTech,,,3 founders,Series A,uae,4,,Peyush
EduNest_107,ai,,,Unknown,Pre-Seed,canada,5,Partially Funded,Kevin
AgriKart_108,Tech,84522187,,2 founders,,USA,3,No Deal,
FoodLabs_109,logistics,,,,Series A,USA,6,Rejected,Namita
MetaNest_110,ai,,,3 founders,Series B,usa,6,Partially Funded,
BrightPulse_111,,31490908,,1 founder,Pre-Seed,usa,,Partially Funded,Aman
SmartWave_112,Fashion,,,1 founder,Bootstrapped,Canada,4,Offer Withdrawn,Namita
NextHive_113,fashion,,,2 founders,Series C,,3,Offer Withdrawn,Namita
InnoPulse_114,E‑commerce,,,Unknown,Seed,uae,5,No Deal,Barbara
UrbanSpark_115,Logistics,,,3 founders,Seed,,2,Offer Withdrawn,Barbara
FoodHive_116,tech,,,1 founder,Bootstrapped,,5,Funded,Anupam
AgriSpark_117,E‑commerce,,,3 founders,Seed,india,,Partially Funded,
HealthSystems_118,EdTech,,0.96%,,Bootstrapped,india,4,Offer Withdrawn,Kevin
MetaSystems_119,travel,,,,Angel,uk,,Funded,Vineeta
NextHive_120,edtech,17152643,56.28%,2 founders,Bootstrapped,uk,,Funded,Namita
FreshBridge_121,Fashion,,,2 founders,Bootstrapped,,5,No Deal,Barbara
DataSpark_122,Food,,47.11%,1 founder,Series A,UAE,,Partially Funded,Anupam
EduFoods_123,E‑commerce,,unknown,1 founder,Angel,usa,6,No Deal,Namita
QuantumEdge_124,ai,53977613,unknown,2 founders,Series A,Canada,,Funded,
FreshKart_125,Food,,,3 founders,Series A,,,No Deal,Aman
FoodGen_126,Tech,,,,Series B,UAE,6,Offer Withdrawn,Namita
TechWorks_127,tech,90240939,unknown,4 founders,Series A,canada,1,Funded,Anupam
CloudNest_128,Tech,,52.85%,,Seed,UAE,2,Funded,Kevin
DigitalNest_129,,,,3 founders,Pre-Seed,india,1,Partially Funded,Ashneer
FoodGen_130,fintech,,10.77%,4 founders,Series B,usa,4,No Deal,Kevin
HealthBox_131,,,,,Seed,uae,6,No Deal,Ashneer
AINest_132,Fashion,,unknown,,Angel,india,,Offer Withdrawn,Barbara
QuantumMart_133,Fashion,,,1 founder,Angel,canada,2,Rejected,Anupam
SmartBox_134,EdTech,53691806,unknown,Unknown,,uae,4,Rejected,Lori
FinBridge_135,tech,,8.47%,2 founders,Bootstrapped,uk,2,,Mark
CloudLink_136,tech,4388045,,,,india,2,Offer Withdrawn,Namita
NextLink_137,Food,,48.76%,,Series B,,4,Rejected,Barbara
HealthSolutions_138,fintech,,unknown,1 founder,Pre-Seed,UAE,7,No Deal,Barbara
GreenGen_139,ai,,15.76%,2 founders,Angel,uae,1,Funded,Kevin
CloudFoods_140,ai,83172107,unknown,,Pre-Seed,India,2,Partially Funded,Lori
DigitalWorks_141,food,,,2 founders,Bootstrapped,canada,,No Deal,Namita
HyperSpark_142,agri,,,1 founder,Series A,Canada,,,Peyush
HealthLink_143,logistics,18288338,,,Series C,Canada,1,Funded,Barbara
TechWave_144,FinTech,11579588,,,Series A,india,6,No Deal,Ashneer
QuantumBridge_145,Travel,23238470,,2 founders,Angel,canada,6,Funded,Peyush
CloudFoods_146,health,,,3 founders,Series A,UAE,1,,Peyush
HealthBridge_147,Health,53992788,45.11%,3 founders,Bootstrapped,USA,6,Rejected,Vineeta
DigitalCore_148,agri,,,2 founders,Series A,Canada,,No Deal,
HealthGen_149,Food,,,1 founder,Pre-Seed,uk,3,,Barbara
InnoSystems_150,FinTech,,unknown,,,Canada,,,Anupam
DigitalMart_151,ai,,unknown,2 founders,Angel,UAE,2,Offer Withdrawn,
SmartBox_152,travel,,,Unknown,Bootstrapped,india,1,,Kevin
SmartHive_153,fashion,,unknown,1 founder,Angel,india,7,Funded,
AIPulse_154,EdTech,,unknown,,Bootstrapped,USA,6,Offer Withdrawn,Ashneer
AIGrow_155,Food,23550264,unknown,1 founder,Bootstrapped,usa,3,Funded,Kevin
DigitalSystems_156,tech,43488047,unknown,2 founders,Series C,India,1,Funded,Peyush
InnoWorks_157,Travel,,unknown,Unknown,Angel,uk,5,Offer Withdrawn,Kevin
TechHive_158,food,45976590,unknown,,Series B,Canada,1,,Kevin
EduNest_159,Food,,,,,India,3,Offer Withdrawn,Kevin
TechMart_160,Fashion,52391924,,3 founders,Series A,India,,Rejected,Namita
UrbanSolutions_161,EdTech,16930416,10.22%,2 founders,Pre-Seed,usa,1,Offer Withdrawn,
NextNest_162,Fashion,,,1 founder,Angel,india,7,Offer Withdrawn,Ashneer
BrightMart_163,fintech,,unknown,3 founders,Seed,india,7,Offer Withdrawn,Lori
DigitalLink_164,Fashion,,43.92%,2 founders,Series B,uae,6,Offer Withdrawn,Aman
EduBridge_165,agri,,59.63%,Unknown,Pre-Seed,uk,6,Rejected,Kevin
FreshGrow_166,logistics,,,1 founder,Series B,Canada,3,,Kevin
FinMart_167,Agri,61484799,,1 founder,Seed,usa,7,Rejected,Anupam
AISolutions_168,E‑commerce,,13.93%,1 founder,Series A,india,4,Rejected,Kevin
GreenBridge_169,Health,,,,Series C,uk,1,No Deal,
NextBridge_170,E‑commerce,,,Unknown,Series B,uae,1,No Deal,Mark
BrightCore_171,fintech,,unknown,4 founders,Series B,,6,Funded,Barbara
NextGen_172,fintech,,unknown,,Seed,uae,5,Offer Withdrawn,Anupam
TechGrow_173,FinTech,,,Unknown,Angel,,,Funded,Vineeta
HealthNest_174,ai,,37.53%,1 founder,Seed,canada,7,Rejected,Anupam
UrbanGrow_175,food,18511708,,3 founders,Seed,canada,5,,Aman
NextHub_176,food,,50.30%,2 founders,Seed,,,Offer Withdrawn,
FreshEdge_177,,,,4 founders,,UAE,4,Partially Funded,Barbara
AIPulse_178,fashion,,,2 founders,Series C,UAE,1,Offer Withdrawn,Vineeta
EduCore_179,,20159999,unknown,3 founders,,,4,Rejected,Peyush
EduHub_180,E‑commerce,,,3 founders,Angel,uk,4,Offer Withdrawn,Vineeta
FoodLabs_181,edtech,,,4 founders,Series A,India,,Partially Funded,Kevin
AIPulse_182,fashion,16378642,,1 founder,Series C,usa,7,Offer Withdrawn,Lori
FinMart_183,health,42222163,48.65%,Unknown,Pre-Seed,canada,6,Rejected,Aman
UrbanFoods_184,health,,unknown,4 founders,Bootstrapped,usa,3,No Deal,Ashneer
QuantumHub_185,Tech,,,,Series C,UAE,7,Partially Funded,
AgriWorks_186,ecommerce,,,1 founder,Pre-Seed,,,,Kevin
QuantumHub_187,E‑commerce,5555682,39.03%,2 founders,Series A,UAE,4,Offer Withdrawn,Peyush
HyperWave_188,edtech,,unknown,,Seed,uk,1,Offer Withdrawn,Lori
EduBox_189,health,629910,unknown,1 founder,Seed,india,,Rejected,Peyush
FreshPulse_190,,,,4 founders,,India,1,Offer Withdrawn,
HyperHub_191,Fashion,,,,,usa,2,Partially Funded,
FreshHub_192,ai,,unknown,,Angel,,6,,Ashneer
FinWave_193,fintech,,unknown,3 founders,Series A,,3,Funded,Peyush
FreshBox_194,ai,47760250,,1 founder,Series B,uk,4,Rejected,Vineeta
MetaEdge_195,,,unknown,2 founders,Pre-Seed,USA,4,No Deal,Barbara
MetaGrow_196,health,,,1 founder,Bootstrapped,usa,7,Partially Funded,Kevin
FoodBridge_197,ai,,,4 founders,Angel,usa,4,Rejected,Aman
InnoGen_198,Fashion,,,4 founders,Pre-Seed,india,5,No Deal,
FinBridge_199,Agri,,,Unknown,Seed,India,2,No Deal,Lori
EduLink_200,E‑commerce,,unknown,2 founders,Bootstrapped,USA,,Funded,Anupam
AgriLink_201,,,unknown,Unknown,Seed,uae,,Rejected,Ashneer
SmartMart_202,travel,,,,Angel,UAE,3,Offer Withdrawn,Peyush
DataWave_203,,,,3 founders,Angel,,6,Offer Withdrawn,Ashneer
EduNest_204,ecommerce,,5.40%,4 founders,Bootstrapped,canada,1,Funded,Vineeta
FinCore_205,ai,,27.63%,4 founders,Angel,india,,Rejected,Vineeta
QuantumFoods_206,ai,80657356,11.72%,2 founders,,UAE,7,Partially Funded,Anupam
DigitalSystems_207,EdTech,,48.34%,4 founders,Series A,USA,6,Partially Funded,Aman
GreenHive_208,E‑commerce,,20.91%,,Bootstrapped,usa,7,Funded,Kevin
FreshSolutions_209,ecommerce,,6.77%,,Angel,USA,7,Partially Funded,Vineeta
CloudHive_210,fashion,,24.00%,,Angel,canada,2,,Barbara
InnoKart_211,travel,,43.60%,,Pre-Seed,usa,,,Mark
QuantumHive_212,Tech,,unknown,,Series A,Canada,2,,Kevin
NextHub_213,Travel,64633733,49.85%,,Seed,uae,2,Partially Funded,Anupam
NextCore_214,food,,,Unknown,Pre-Seed,UAE,,No Deal,Anupam
CloudCore_215,fashion,,56.24%,2 founders,Series B,usa,2,No Deal,Mark
HyperBridge_216,Health,,,,Bootstrapped,,3,,Vineeta
AgriEdge_217,Health,,unknown,Unknown,Pre-Seed,india,3,Partially Funded,Kevin
NextLink_218,ai,,unknown,2 founders,Series C,USA,7,Partially Funded,Vineeta
DataHub_219,Fashion,9650145,unknown,2 founders,Seed,canada,6,Funded,Barbara
MetaHub_220,logistics,,7.17%,Unknown,Seed,India,,Rejected,Anupam
AgriKart_221,ecommerce,17248268,unknown,,Series B,canada,6,,Barbara
BrightLabs_222,Fashion,,unknown,Unknown,Pre-Seed,uk,,Partially Funded,Barbara
FoodNest_223,tech,,,Unknown,Angel,usa,6,No Deal,Ashneer
QuantumWorks_224,fintech,,,Unknown,Seed,USA,1,,
AgriKart_225,AI,,,,Bootstrapped,UAE,,No Deal,Barbara
HealthSystems_226,Health,,,Unknown,Series A,India,4,Funded,Lori
BrightLink_227,Fashion,,,,Seed,UAE,7,Partially Funded,Anupam
AISystems_228,tech,,6.03%,Unknown,Series B,India,,No Deal,Vineeta
CloudGen_229,Food,93730168,,,Series B,Canada,,Funded,Kevin
DataGen_230,Agri,,unknown,,Series C,canada,1,Offer Withdrawn,Ashneer
AgriPulse_231,Food,,15.05%,1 founder,Series C,UAE,2,Offer Withdrawn,
SmartGrow_232,agri,24405170,,4 founders,Series B,canada,4,Rejected,Aman
TechPulse_233,,,,2 founders,Pre-Seed,Canada,4,No Deal,Peyush
NextLink_234,health,,41.25%,1 founder,Series A,USA,,Rejected,Anupam
AISpark_235,ecommerce,,,Unknown,Angel,USA,5,Offer Withdrawn,Mark
FinGrow_236,travel,,,,Angel,India,1,Rejected,
HealthWorks_237,E‑commerce,106075,,2 founders,Seed,uae,4,Offer Withdrawn,Mark
FreshHive_238,edtech,63491899,14.56%,Unknown,Bootstrapped,India,1,Funded,Anupam
DigitalMart_239,Logistics,,13.73%,,,uae,2,Offer Withdrawn,Aman
EduHive_240,Fashion,50419300,,,,Canada,1,Funded,Anupam
EduBridge_241,Agri,83570950,10.80%,1 founder,,UAE,2,Rejected,
MetaFoods_242,ecommerce,,,1 founder,,UAE,2,Rejected,Vineeta
HyperLabs_243,tech,,,,Seed,UAE,1,Partially Funded,Ashneer
BrightEdge_244,fintech,,9.61%,4 founders,Bootstrapped,usa,2,,Vineeta
CloudBox_245,ecommerce,,,2 founders,Series A,,7,,Barbara
HyperSystems_246,ai,,unknown,,Bootstrapped,India,2,Offer Withdrawn,Aman
HyperLabs_247,Food,,27.41%,Unknown,Seed,usa,6,Rejected,Lori
AgriKart_248,agri,,,2 founders,Seed,india,7,Funded,Lori
UrbanNest_249,Health,,,,Series B,india,7,Funded,Mark
GreenSolutions_250,food,,15.80%,,Pre-Seed,USA,,No Deal,Namita
TechCore_251,Travel,,unknown,3 founders,Series B,USA,2,Partially Funded,
InnoSpark_252,Agri,,,,Angel,uk,5,Partially Funded,Vineeta
NextKart_253,health,,56.50%,,Series A,India,,Funded,Barbara
AgriEdge_254,EdTech,,,2 founders,Angel,USA,6,Offer Withdrawn,Peyush
FreshLabs_255,Tech,89855778,54.27%,,Series A,,6,Partially Funded,Aman
DigitalFoods_256,agri,,,3 founders,Series B,india,3,Partially Funded,
TechSystems_257,agri,,22.18%,4 founders,Pre-Seed,,,,Peyush
AgriSpark_258,Tech,,,,Series C,USA,4,Partially Funded,
BrightPulse_259,E‑commerce,,unknown,3 founders,Bootstrapped,Canada,7,Rejected,Anupam
SmartSolutions_260,tech,,unknown,3 founders,Series B,,5,Rejected,Peyush
UrbanNest_261,edtech,,unknown,Unknown,Series B,UAE,5,Partially Funded,Barbara
FreshFoods_262,edtech,,,3 founders,,uae,1,Funded,Lori
DigitalHive_263,Health,,39.90%,3 founders,Pre-Seed,Canada,1,,Lori
QuantumWave_264,FinTech,,,4 founders,Series C,,2,No Deal,Barbara
DigitalGrow_265,agri,,unknown,Unknown,Series A,usa,5,,Lori
MetaSystems_266,tech,,28.27%,Unknown,Series B,Canada,2,Funded,Vineeta
AgriMart_267,Agri,,,2 founders,Pre-Seed,India,2,Funded,Barbara
AIHub_268,AI,77600972,,,Pre-Seed,USA,6,Funded,Mark
FoodPulse_269,ecommerce,,,3 founders,Seed,Canada,1,Partially Funded,Peyush
UrbanSpark_270,Tech,90974764,,1 founder,Series A,USA,5,Offer Withdrawn,Barbara
FreshKart_271,edtech,,53.59%,2 founders,Bootstrapped,UAE,3,No Deal,Lori
GreenBox_272,Agri,,,,Seed,India,3,Rejected,Lori
FoodMart_273,edtech,,,Unknown,Seed,usa,,,Mark
DataBox_274,EdTech,,,1 founder,Seed,Canada,2,Rejected,Mark
HyperLabs_275,fintech,,unknown,1 founder,Series A,india,7,Rejected,Kevin
QuantumNest_276,Health,88956614,1.38%,,Bootstrapped,india,,Offer Withdrawn,Lori
TechNest_277,health,,unknown,,Pre-Seed,canada,,No Deal,Kevin
UrbanHub_278,Tech,58690300,unknown,3 founders,Pre-Seed,uk,6,Partially Funded,
CloudMart_279,edtech,,,2 founders,Seed,Canada,5,Offer Withdrawn,Ashneer
MetaNest_280,Fashion,,,4 founders,Seed,UAE,,No Deal,
HealthWorks_281,Health,,,3 founders,Series B,uae,5,Offer Withdrawn,Lori
DataSpark_282,EdTech,,unknown,,,india,,,Vineeta
HealthEdge_283,edtech,45795806,56.33%,1 founder,Seed,USA,1,Funded,Namita
MetaSystems_284,Fashion,29994419,unknown,,Pre-Seed,Canada,7,,Anupam
MetaGen_285,tech,94677314,1.83%,Unknown,Series A,canada,4,No Deal,Namita
AgriHub_286,AI,68705537,27.62%,2 founders,Series B,india,6,Funded,Aman
TechEdge_287,logistics,,unknown,2 founders,Seed,canada,2,Offer Withdrawn,Vineeta
HealthGen_288,health,,24.19%,,Series A,usa,,,Aman
SmartMart_289,FinTech,,,3 founders,Bootstrapped,,3,Partially Funded,Kevin
CloudBox_290,ecommerce,,unknown,1 founder,Angel,India,3,Offer Withdrawn,Vineeta
FoodBox_291,ai,64865862,unknown,4 founders,Pre-Seed,,3,No Deal,Aman
MetaLink_292,EdTech,,unknown,,Bootstrapped,uae,1,No Deal,Peyush
DigitalSolutions_293,Tech,,unknown,2 founders,Bootstrapped,uae,6,Partially Funded,Anupam
TechKart_294,,84900244,,3 founders,Pre-Seed,usa,2,,Peyush
FinPulse_295,Food,,unknown,1 founder,Series A,canada,5,,Mark
HealthNest_296,agri,8422619,,Unknown,Angel,uk,4,Funded,Aman
AIFoods_297,,,,,Seed,uae,,Rejected,Peyush
UrbanWave_298,health,67645076,,2 founders,Bootstrapped,,2,,Ashneer
EduGrow_299,fashion,,,,,,2,No Deal,Vineeta
DataSpark_300,Health,5521642,29.85%,4 founders,Pre-Seed,Canada,4,Offer Withdrawn,Barbara
DigitalWorks_301,Food,,,Unknown,Series B,usa,2,Offer Withdrawn,
InnoMart_302,AI,,,,Seed,India,6,Funded,Anupam
AgriBox_303,food,33950487,,1 founder,Series C,India,,No Deal,Peyush
BrightSolutions_304,ecommerce,,13.42%,1 founder,Series B,UAE,7,Funded,Namita
FoodKart_305,AI,,23.67%,3 founders,Seed,india,2,Offer Withdrawn,Peyush
CloudNest_306,fashion,76916168,,1 founder,Series C,usa,,Partially Funded,Aman
EduBridge_307,tech,99674401,,Unknown,Bootstrapped,uk,7,Funded,Barbara
MetaBridge_308,Agri,,,Unknown,Series B,India,6,Funded,Peyush
CloudHive_309,ai,,,3 founders,Bootstrapped,,7,,Peyush
HyperGen_310,Travel,,unknown,3 founders,Series B,india,,,Barbara
UrbanBox_311,food,14806459,,2 founders,Seed,Canada,,,Kevin
InnoSpark_312,EdTech,,,,Pre-Seed,usa,,,Barbara
DigitalSolutions_313,agri,,,,Series B,uae,7,Offer Withdrawn,Kevin
FreshGen_314,tech,,,,Seed,Canada,,No Deal,Lori
QuantumBox_315,ecommerce,,,,Series A,India,4,,Lori
FoodWave_316,edtech,19347847,,,Series A,usa,,Offer Withdrawn,Namita
HyperHive_317,AI,,,,,,,Offer Withdrawn,Lori
SmartMart_318,edtech,,unknown,4 founders,Seed,Canada,2,Offer Withdrawn,Namita
UrbanWave_319,Tech,21676696,4.48%,3 founders,Seed,canada,1,Rejected,
DigitalWave_320,agri,,unknown,4 founders,Bootstrapped,,5,No Deal,Anupam
AgriSystems_321,logistics,,,,Series C,Canada,,Partially Funded,Mark
AIGen_322,E‑commerce,79530914,37.33%,2 founders,Series A,,7,No Deal,Mark
MetaSpark_323,ecommerce,71064987,23.46%,,Angel,USA,6,Rejected,Ashneer
FreshFoods_324,,,28.34%,,Seed,,4,,Lori
InnoPulse_325,ai,,,Unknown,Bootstrapped,india,,Partially Funded,Peyush
InnoKart_326,Agri,,,,Bootstrapped,india,7,,Kevin
GreenKart_327,Fashion,10473981,6.97%,2 founders,Series C,USA,1,Offer Withdrawn,
AIWave_328,food,38702106,,2 founders,Seed,India,,Offer Withdrawn,Vineeta
FreshFoods_329,Health,,unknown,4 founders,Series A,USA,,Funded,Mark
GreenPulse_330,ecommerce,92975457,unknown,2 founders,Series A,canada,1,Rejected,Aman
FreshMart_331,agri,,,,Series C,UAE,,Offer Withdrawn,Barbara
DigitalNest_332,ecommerce,83885953,31.42%,4 founders,Bootstrapped,India,2,No Deal,Mark
MetaWorks_333,Travel,,unknown,1 founder,Bootstrapped,usa,6,Funded,Vineeta
SmartSolutions_334,Tech,,57.71%,,Pre-Seed,uae,4,,Lori
QuantumHive_335,fintech,,,3 founders,Bootstrapped,India,5,,Namita
AgriKart_336,agri,,7.94%,3 founders,Series B,uk,2,Partially Funded,Peyush
UrbanKart_337,ecommerce,15761569,47.07%,3 founders,Series A,india,,Offer Withdrawn,Kevin
InnoSpark_338,AI,86906325,,1 founder,Series C,,6,Partially Funded,Ashneer
UrbanSpark_339,fintech,,,,Series B,india,6,Partially Funded,Anupam
BrightLabs_340,Fashion,,,2 founders,Series C,USA,3,Rejected,Barbara
BrightGrow_341,fintech,,46.61%,4 founders,Bootstrapped,UAE,1,Funded,Vineeta
GreenSpark_342,tech,,,Unknown,Seed,india,7,Rejected,Lori
NextLabs_343,tech,,unknown,Unknown,Series B,,,Rejected,Kevin
MetaWorks_344,Food,,unknown,Unknown,Seed,UAE,2,Rejected,Ashneer
MetaKart_345,EdTech,,unknown,4 founders,,Canada,2,No Deal,Barbara
AgriWave_346,E‑commerce,,unknown,3 founders,Seed,USA,,No Deal,Peyush
CloudPulse_347,AI,49606730,,Unknown,Series C,India,7,Funded,Ashneer
EduSystems_348,Agri,,,2 founders,Bootstrapped,USA,,,
DataWave_349,tech,,5.36%,1 founder,Bootstrapped,India,7,Offer Withdrawn,Namita
NextGen_350,fintech,,,,,usa,,,Peyush
AIKart_351,EdTech,33904636,unknown,3 founders,Angel,uae,2,Offer Withdrawn,Anupam
